Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
94,43,70,160,64,6,144,45,18,141,168,320,171,66,8,4,195,200,1
96,45,73,199,73,5,162,39,20,148,183,406,190,70,7,7,196,200,1
93,43,71,159,64,6,144,45,19,142,168,319,170,67,8,3,193,199,1
81,43,68,123,53,7,150,45,19,146,170,328,176,81,5,13,179,184,1
95,46,78,204,72,6,167,38,20,148,188,431,178,69,5,15,198,202,1
105,50,93,161,51,6,217,30,24,164,242,707,207,81,8,23,187,187,1
99,41,76,200,69,5,176,36,21,138,202,482,151,72,5,13,197,198,1
96,46,76,202,71,5,166,38,20,149,186,425,182,69,6,14,198,203,1
87,40,73,160,64,7,150,44,19,137,174,341,151,72,2,9,190,194,1
87,43,69,178,74,6,145,44,19,140,167,325,176,68,5,0,194,201,1
83,42,75,156,64,7,151,44,19,143,179,338,160,76,0,19,186,191,1
88,42,70,145,61,7,147,45,19,142,176,324,153,76,3,6,185,188,1
82,43,67,132,58,7,150,45,19,144,171,330,170,82,5,10,180,184,1
105,52,100,177,54,5,232,28,25,159,256,801,237,82,1,21,184,184,1
88,44,68,113,50,7,149,45,19,146,170,327,188,87,6,5,179,182,1
98,46,87,191,63,5,192,33,22,147,214,563,175,73,2,25,194,196,1
83,44,68,142,61,7,147,45,19,143,170,324,181,76,3,1,183,188,1
84,44,70,165,69,5,143,46,18,142,166,307,170,69,6,5,188,193,1
83,44,70,140,60,7,147,45,19,144,168,325,181,74,4,0,185,191,1
83,42,69,127,56,7,149,45,19,145,173,325,172,82,8,15,180,184,1
82,43,71,117,52,6,152,44,19,146,174,339,176,82,2,2,179,184,1
100,52,91,195,65,5,204,31,23,160,231,642,214,78,5,13,191,191,1
94,36,73,190,72,6,156,40,19,126,183,374,124,70,2,18,198,204,1
99,41,75,201,70,5,176,36,21,138,203,481,151,72,5,14,197,197,1
91,39,75,178,70,6,151,43,19,132,178,348,144,71,5,15,195,200,1
95,36,73,184,70,6,150,42,19,127,175,348,128,68,0,13,199,205,1
94,45,84,200,68,6,184,35,22,147,202,523,179,72,1,5,194,196,1
84,43,68,124,54,7,151,45,19,145,173,332,173,82,1,11,180,183,1
85,42,61,129,57,6,148,46,19,144,166,319,171,83,7,6,179,182,1
96,42,80,197,69,6,177,36,21,139,194,484,157,69,5,6,196,198,1
81,43,69,130,58,7,148,46,19,144,170,320,177,82,6,17,179,184,1
94,44,83,200,69,6,176,36,21,143,189,481,176,68,6,9,196,199,1
100,49,80,199,67,6,185,34,21,157,206,527,198,73,5,4,197,198,1
95,46,85,208,71,7,186,34,22,148,205,537,193,72,1,5,194,196,1
86,45,72,152,63,6,149,44,19,145,170,335,176,71,5,0,188,195,1
97,36,72,196,72,6,160,40,19,129,186,393,125,71,3,16,200,204,1
89,40,71,154,62,7,146,45,19,135,175,321,145,72,3,9,191,195,1
82,42,74,154,64,7,151,44,19,143,178,340,158,75,2,14,185,190,1
85,43,62,119,53,7,150,46,19,145,169,325,173,85,5,6,179,182,1
82,46,73,148,62,6,153,43,19,146,175,351,186,76,0,6,183,190,1
101,50,96,189,59,6,217,30,24,158,234,713,211,78,8,12,188,188,1
99,48,79,198,67,6,185,34,22,153,202,524,174,74,5,7,195,195,1
85,41,66,153,64,18,148,45,19,139,173,328,154,75,5,13,184,190,1
108,57,106,179,51,6,259,26,28,171,276,976,244,83,5,16,181,182,1
84,44,68,210,96,25,146,45,19,142,196,326,180,90,3,1,188,194,1
86,44,70,165,69,6,143,46,18,141,166,310,171,70,4,4,188,193,1
99,48,94,208,68,6,198,32,22,150,215,603,200,73,6,10,192,194,1
95,42,82,197,68,5,177,36,21,138,189,484,162,68,5,4,196,198,1
99,41,76,200,69,5,176,36,21,138,202,482,151,72,5,14,197,198,1
98,38,72,189,68,5,165,38,20,131,190,423,137,70,1,8,200,202,1
91,42,66,167,65,6,145,44,19,140,169,324,160,67,4,0,200,206,1
97,41,76,184,65,5,176,36,21,135,204,483,148,73,1,7,196,197,1
86,42,61,118,52,8,150,45,19,143,169,326,171,85,7,8,179,182,1
85,42,65,122,54,6,148,46,19,141,171,318,173,87,5,13,179,182,1
104,55,100,191,57,6,229,28,25,168,244,796,229,77,7,12,187,187,1
111,57,107,188,53,6,260,26,28,173,283,988,259,84,10,17,181,182,1
110,57,106,180,51,6,260,26,28,171,278,997,257,83,9,13,181,182,1
99,50,81,197,67,5,186,33,22,158,206,533,199,74,5,1,196,197,1
80,43,68,122,53,6,150,45,19,147,169,328,176,82,6,11,179,183,1
86,43,69,125,56,6,148,46,19,144,166,317,171,86,5,9,179,182,1
80,47,74,144,61,6,153,43,19,147,175,350,194,76,4,8,183,189,1
85,42,72,162,68,7,151,44,19,144,177,340,164,75,3,15,185,189,1
98,46,71,191,71,6,162,39,20,151,181,406,179,68,8,6,198,203,1
94,46,80,201,70,5,175,36,21,148,193,472,189,69,6,2,196,198,1
99,51,85,207,69,5,192,33,22,160,212,571,215,75,4,8,194,194,1
107,55,101,245,74,5,238,28,26,166,264,854,228,82,8,13,185,184,1
88,41,74,161,65,5,152,43,19,136,175,351,153,72,2,0,188,194,1
98,48,82,197,67,6,185,34,22,155,205,529,194,73,4,1,196,197,1
97,41,76,186,66,5,176,36,21,135,204,483,148,73,2,8,196,197,1
99,37,73,189,68,6,163,39,20,129,191,409,132,71,3,20,200,202,1
97,41,77,206,72,5,174,36,20,138,200,470,153,71,5,17,196,198,1
84,41,68,154,65,17,149,44,19,140,174,333,156,75,5,14,184,190,1
82,43,69,122,54,8,150,45,19,145,172,331,176,82,1,10,180,183,1
86,41,73,157,64,7,151,44,19,138,175,341,153,73,3,8,189,193,1
105,50,93,175,54,4,222,29,25,158,255,740,207,82,3,12,186,184,1
91,39,76,180,71,6,153,42,19,132,179,356,145,72,6,13,193,198,1
95,47,80,202,71,7,180,35,21,151,198,503,184,72,0,5,195,198,1
93,37,73,185,70,6,154,42,19,128,174,362,130,68,1,6,197,204,1
99,48,79,198,67,6,185,34,22,155,203,526,182,74,5,5,195,196,1
84,44,68,128,56,7,151,45,19,146,169,332,186,79,2,4,180,184,1
86,43,66,126,55,7,151,45,19,143,172,336,174,80,1,15,180,185,1
94,43,71,159,64,6,144,45,19,141,168,321,170,67,8,3,194,199,1
87,46,72,163,66,6,151,43,19,146,176,345,190,72,3,4,187,191,1
94,45,84,201,69,6,183,35,21,147,203,521,185,72,0,5,194,197,1
81,44,71,135,60,7,147,45,19,143,172,317,182,80,6,16,180,185,1
103,50,94,185,57,4,220,30,24,157,245,728,208,80,5,10,187,185,1
78,43,69,146,64,7,147,46,19,145,169,319,168,77,1,12,180,185,1
107,57,105,179,51,7,257,26,28,172,276,961,234,83,2,18,181,183,1
