Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
93,39,72,141,58,6,135,49,18,137,164,270,134,71,0,2,188,190,1
93,36,68,126,53,7,127,52,18,132,155,241,116,66,1,3,194,195,1
90,47,74,137,58,11,160,42,20,154,172,374,185,76,10,8,183,191,1
89,46,75,133,57,9,157,44,20,160,169,355,181,78,6,3,183,191,1
93,39,61,117,49,6,131,52,18,143,158,250,154,79,7,4,183,183,1
95,40,69,120,50,7,137,50,18,141,161,269,139,80,9,13,182,183,1
90,41,84,141,57,9,149,44,19,143,170,330,158,72,9,14,188,199,1
98,45,88,170,67,9,155,43,19,149,168,357,179,67,13,7,192,200,1
87,37,51,113,55,5,120,55,17,126,138,215,143,82,7,3,180,183,1
93,36,69,126,52,8,127,52,18,136,155,238,118,70,1,11,191,190,1
93,43,82,135,54,10,153,44,19,151,173,347,163,73,9,15,184,197,1
94,41,82,170,65,9,145,45,19,145,163,314,140,64,3,8,198,206,1
95,46,88,174,68,10,155,43,19,150,172,355,185,69,14,16,192,201,1
90,37,70,147,61,8,135,49,18,134,161,271,126,69,1,6,190,195,1
93,42,79,158,63,9,145,46,19,144,163,313,155,66,6,8,194,202,1
89,41,84,141,57,9,149,45,19,144,171,330,161,72,4,17,188,199,1
89,39,79,154,64,9,143,46,19,138,167,310,149,70,8,7,188,197,1
92,40,65,114,48,7,137,50,18,141,160,272,150,82,13,16,182,183,1
95,35,66,148,62,7,127,52,17,128,147,244,112,65,5,5,195,201,1
90,40,78,161,65,9,144,46,19,142,166,314,142,68,1,5,192,201,1
94,46,86,171,66,9,152,43,19,147,170,346,180,67,6,9,194,203,1
94,39,60,117,49,6,131,52,18,142,157,251,153,80,7,3,182,183,1
96,44,85,167,66,10,154,43,19,149,167,353,164,67,5,9,192,201,1
88,36,51,109,52,5,118,57,17,128,137,206,125,80,3,12,181,184,1
94,43,76,141,56,10,151,44,19,149,173,339,159,71,2,22,186,199,1
85,47,76,123,53,9,157,43,20,164,169,360,175,77,1,7,182,191,1
95,38,63,123,51,7,133,52,18,139,156,253,143,80,9,5,183,182,1
83,39,58,115,52,5,130,53,18,138,144,244,151,82,8,7,178,184,1
89,47,85,147,58,10,153,43,19,152,176,350,186,74,9,6,185,196,1
86,37,70,143,60,8,136,48,18,135,161,278,139,69,7,6,191,197,1
90,46,85,274,112,36,157,43,20,160,210,362,181,87,4,16,185,195,1
92,38,76,163,66,10,139,47,18,139,157,290,126,64,4,7,199,207,1
86,47,74,136,58,10,161,43,20,162,170,371,185,75,2,2,182,192,1
92,36,66,150,60,8,133,50,18,134,153,265,119,62,8,7,201,208,1
92,45,84,206,83,24,155,43,19,153,185,350,179,78,11,15,189,197,1
89,47,84,158,64,11,160,43,20,164,174,372,183,73,2,17,185,195,1
90,47,84,148,60,10,154,44,19,156,173,351,186,73,10,10,185,196,1
85,36,69,143,60,8,132,50,18,130,152,262,125,65,2,11,194,202,1
85,45,75,161,67,8,144,45,18,148,171,313,175,71,1,1,189,199,1
89,36,68,142,59,9,139,47,18,130,165,291,127,72,6,1,189,196,1
90,41,84,141,57,9,149,45,19,143,170,330,158,72,8,14,188,199,1
