Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,class
1,163,163.75978444676676,163.75978444676676,0.9768132512178159,1.0,79.99322042449687,159,163,2,1
288,24,2025.751292958822,0.7177326559938914,0.1939902290384199,0.30477912817633723,30.649414944604,398,598,59,1
3,474,1423.7459208637265,158.19732454041403,0.35123633772979296,0.38463958934663284,26.21506324184897,499,546,20,1
1,68,68.1905979090827,68.1905979090827,0.6020527339363398,1.0,3.057446098907909,41,68,13,1
2,64,129.99643492177637,32.49910873044409,0.5493672012803428,0.6498859174968443,15.75222817388976,71,84,4,1
1,94,94.72803085325394,94.72803085325394,0.9338583341979705,1.0,28.001008024582855,88,94,3,1
1,152,152.56016680446314,152.56016680446314,0.9736200357438135,1.0,58.06550339204057,148,152,2,1
12,1,13.839446387069792,0.09175027222994063,0.9460355894026562,0.9520316350245833,12.760158175122916,12,12,1,1
12,479,5629.150827190597,43.017167597818386,0.8385455930833839,0.9231017346667143,24.431629999646667,4729,5204,196,1
1,141,141.60450656138397,141.60450656138397,0.9611318311462053,1.0,39.55947547208153,136,141,3,1
1,98,98.16199244392324,98.16199244392324,0.9577023161222696,1.0,47.09449559228855,94,98,2,1
30,60,1809.990057391746,2.0109890631309204,0.1549990057391746,0.46565804973951314,1.859990057391746,281,843,150,1
1,65,65.64410435841448,65.64410435841448,0.5651861390430806,1.0,2.31,37,65,16,1
1,78,78.98827872244233,78.98827872244233,0.6067985690503394,1.0,6.850095520463773,47,78,6,1
1,71,71.65329949577985,71.65329949577985,0.875935110027768,1.0,9.70951523024222,62,71,6,1
2,21,42.92260204095698,10.730650510239245,0.7567337372440188,0.7769349489760754,32.461301020478494,32,33,1,1
28,61,1736.3775423493069,2.1436443734664374,0.14827451377353038,0.47271396224187,1.8816109336660936,256,819,135,1
26,1,26.939857657399216,0.037060142342600785,1.0,1.0,26.939857657399216,26,26,1,1
29,60,1759.7313070607677,2.0783488699578543,0.16187865731419762,0.4797605655743487,1.902524382094651,285,843,149,1
1,86,86.74575170703228,86.74575170703228,0.9191948804056023,1.0,16.352981380070183,79,86,4,1
1,79,79.57772648121893,79.57772648121893,0.9439162146716278,1.0,23.150123489759093,75,79,3,1
19,11,129.23998043671733,1.4010894490655261,0.29301783825726574,0.853420088034772,4.2157123737762845,38,110,12,1
8,21,168.20093368865906,2.9409320702471518,0.1056214748391583,0.3285419206761766,2.213503238741081,17,55,8,1
