Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.53,0.00,0.00,0.00,0.00,0.50,0.92
Random Forest,0.99,0.86,1.00,0.75,0.87,0.88,0.98
Decision Tree,0.38,0.33,0.50,0.25,0.49,0.61,0.92
XGBoost,0.98,0.75,0.75,0.75,0.86,0.86,0.96
AdaBoost,0.96,0.86,1.00,0.75,0.87,0.88,0.98
Gradient Boosting,0.99,0.86,1.00,0.75,0.87,0.88,0.98
Extra Trees,0.99,0.67,1.00,0.50,0.71,0.75,0.96
LightGBM,0.97,0.86,1.00,0.75,0.87,0.88,0.98
Neural Network (MLP),0.77,0.00,0.00,0.00,0.00,0.50,0.92
Logistic Regression,0.93,0.75,0.75,0.75,0.86,0.86,0.96
