Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.74,0.59,0.59,0.59,0.68,0.68,0.71
Random Forest,0.84,0.64,0.66,0.61,0.71,0.72,0.76
Decision Tree,0.74,0.61,0.64,0.59,0.70,0.71,0.74
XGBoost,0.85,0.67,0.68,0.66,0.74,0.75,0.77
AdaBoost,0.83,0.67,0.64,0.70,0.75,0.75,0.76
Gradient Boosting,0.86,0.70,0.71,0.70,0.77,0.77,0.80
Extra Trees,0.85,0.66,0.68,0.65,0.74,0.74,0.77
LightGBM,0.83,0.64,0.67,0.61,0.72,0.73,0.76
Neural Network (MLP),0.75,0.56,0.55,0.57,0.66,0.66,0.69
Logistic Regression,0.81,0.59,0.61,0.57,0.68,0.69,0.72
