Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
112,41,100,261,72,12,162,46,19,190,185,361,165,61,6,31,187,194,1
98,38,69,155,58,9,190,61,18,129,160,665,134,58,5,12,183,205,1
93,42,45,216,63,5,170,49,20,163,163,263,177,74,4,22,180,187,1
82,39,77,243,54,8,153,47,18,119,120,272,131,66,7,24,189,202,1
93,37,78,180,69,8,165,47,20,138,178,371,130,68,3,11,183,209,1
95,36,62,116,49,4,160,55,18,127,119,219,133,93,6,11,189,183,1
99,38,84,226,58,11,146,65,18,149,117,132,196,61,1,2,193,203,1
88,46,90,141,53,9,148,46,19,151,164,682,148,61,0,4,183,197,1
96,38,80,156,66,13,160,48,19,181,169,276,173,64,4,24,191,201,1
90,41,64,141,57,9,112,44,16,140,165,311,115,62,0,27,184,198,1
77,35,55,164,54,6,116,55,25,139,116,216,150,65,-3,0,205,210,1
76,43,65,96,55,4,173,51,18,153,156,257,165,76,8,12,193,179,1
90,48,111,205,64,11,168,46,18,161,183,397,157,63,-1,6,193,197,1
82,33,49,128,56,5,126,48,18,139,155,245,137,74,1,11,187,182,1
81,37,76,126,57,5,136,50,20,145,163,528,156,63,-1,8,197,192,1
100,45,103,190,71,11,159,30,19,152,188,398,152,68,9,21,177,195,1
88,36,62,170,54,8,171,48,25,137,186,374,239,63,5,15,191,194,1
99,41,82,255,56,13,239,48,19,186,173,206,230,64,0,18,196,201,1
110,44,75,191,53,9,161,34,27,167,204,849,175,60,0,26,197,202,1
96,38,76,202,62,13,161,33,18,175,245,794,194,63,1,3,192,199,1
88,45,91,185,61,8,170,46,19,179,186,386,194,64,1,17,199,187,1
77,38,61,128,60,9,146,46,19,125,158,288,120,70,1,4,199,199,1
90,48,84,212,60,7,221,29,17,190,148,660,190,69,4,7,195,186,1
77,46,76,130,62,10,198,52,24,192,165,322,212,68,5,10,193,189,1
100,35,56,127,58,5,130,52,19,147,155,269,119,72,1,41,177,196,1
73,37,60,162,53,7,152,36,20,151,178,865,155,68,3,22,183,185,1
90,39,86,164,58,9,154,44,19,133,168,354,147,63,-1,5,202,205,1
93,43,92,183,67,11,264,44,19,190,184,378,217,69,19,49,184,197,1
79,45,85,166,55,12,158,45,18,145,188,367,250,71,-1,8,203,202,1
94,34,49,184,53,8,124,61,19,129,151,236,231,63,0,7,177,182,1
90,36,87,186,66,8,249,46,18,183,177,372,191,69,7,8,190,198,1
85,37,40,177,65,6,283,59,17,147,164,388,114,60,6,11,187,203,1
90,44,79,105,69,4,119,55,18,181,158,235,138,83,0,6,182,184,1
99,34,70,150,60,13,142,40,24,142,161,179,133,74,0,24,202,202,1
82,51,62,172,46,7,165,47,19,152,190,301,204,68,8,9,189,195,1
97,48,67,142,60,7,104,49,24,150,110,209,121,72,3,24,191,213,1
86,45,90,178,71,10,157,47,18,188,153,399,188,61,-2,21,188,184,1
90,32,53,103,60,8,106,56,18,142,137,686,116,81,4,11,189,189,1
102,41,57,188,62,9,104,47,21,138,139,342,117,69,14,32,186,182,1
104,42,95,159,58,9,166,59,21,139,216,267,167,61,1,17,191,211,1
83,36,78,185,57,7,141,57,17,122,144,281,141,67,1,-2,186,198,1
83,46,75,212,58,13,164,47,19,146,174,157,134,60,1,12,197,202,1
101,50,75,143,50,5,249,32,19,179,190,354,228,71,14,20,186,181,1
90,50,108,202,58,11,210,46,18,180,191,385,230,57,2,9,179,207,1
91,51,81,159,51,9,268,62,17,138,248,289,142,64,6,19,192,183,1
78,44,72,125,58,7,153,43,19,174,166,312,156,67,4,5,181,180,1
91,36,52,168,57,7,157,57,18,128,158,236,135,76,16,27,187,211,1
76,46,68,159,56,7,167,46,19,124,155,390,199,71,2,10,188,204,1
81,41,77,117,52,4,210,47,19,128,186,369,202,66,1,10,184,192,1
90,41,110,190,62,12,140,51,19,183,117,159,130,65,-3,4,207,205,1
80,41,81,157,53,12,155,43,20,150,189,354,207,65,4,5,190,189,1
80,41,86,114,55,6,146,43,19,136,162,172,277,77,-1,2,190,192,1
93,47,73,227,77,8,149,44,20,143,117,367,139,70,6,29,205,210,1
96,42,65,147,67,10,156,35,18,155,188,513,201,80,8,12,189,196,1
97,46,64,153,66,11,110,31,19,178,123,254,125,71,-1,13,198,196,1
96,54,80,243,67,13,166,47,19,171,187,822,168,63,5,13,187,205,1
77,34,86,172,61,5,164,47,20,122,184,403,135,64,1,12,176,181,1
96,42,56,167,65,12,96,58,17,153,127,166,229,62,-2,16,194,212,1
83,46,78,122,62,8,163,44,26,137,177,317,180,67,0,23,181,202,1
89,49,78,226,52,8,170,48,19,123,216,889,132,64,8,19,195,198,1
84,47,88,178,63,8,155,44,18,152,181,402,165,80,2,11,189,187,1
91,32,78,149,56,8,120,62,19,146,168,218,149,68,5,10,197,188,1
