Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
111,51,117,170,50,8,238,26,17,169,228,784,141,63,-1,5,180,216,1
95,50,106,215,47,13,176,29,17,163,246,762,160,80,19,22,189,213,1
95,44,115,217,53,8,183,26,19,153,230,478,170,76,11,4,185,195,1
90,47,63,197,51,6,181,28,18,152,209,522,178,77,16,10,179,185,1
89,47,56,208,51,9,177,27,19,118,158,334,155,73,9,2,187,215,1
93,33,107,216,47,9,240,25,23,131,211,703,176,76,0,5,177,209,1
116,49,99,199,59,10,154,26,19,152,231,378,160,77,16,7,192,208,1
105,53,107,121,50,3,178,25,20,127,134,478,130,81,20,2,181,192,1
93,46,99,101,51,3,237,28,19,114,164,192,102,71,-2,0,184,192,1
103,50,116,252,45,12,174,27,24,187,245,778,121,77,0,15,186,202,1
91,47,116,170,44,6,167,41,23,168,188,448,170,94,7,-5,181,191,1
96,48,114,149,51,12,238,26,23,192,243,524,181,76,4,7,181,192,1
93,49,96,137,50,2,198,47,20,145,140,525,127,75,5,11,181,187,1
96,38,101,198,45,11,142,27,23,136,185,688,104,72,0,13,189,214,1
88,36,110,239,50,12,177,26,18,192,247,780,188,78,11,7,194,199,1
99,51,101,175,48,12,142,22,18,182,192,408,96,78,21,-1,195,206,1
83,37,58,168,44,2,157,50,20,116,135,216,137,75,23,6,206,209,1
108,44,95,219,47,12,163,26,25,177,230,727,201,80,23,0,191,211,1
93,33,116,208,50,8,236,27,19,131,146,245,237,74,6,-2,188,212,1
98,50,100,233,47,13,220,26,17,142,245,793,137,78,6,28,192,211,1
103,32,116,106,54,1,144,47,18,115,104,136,111,75,21,0,190,203,1
82,48,98,141,52,11,186,28,18,132,179,815,164,73,9,-3,195,186,1
102,40,87,202,46,9,196,27,24,135,213,816,137,75,-1,11,182,190,1
96,37,63,175,48,2,231,44,17,114,108,151,105,78,-1,3,192,211,1
96,47,114,210,48,12,195,26,19,192,245,812,134,92,18,7,192,207,1
101,38,110,209,50,7,153,19,19,132,147,356,161,72,3,19,179,188,1
86,40,93,171,54,6,189,28,16,123,121,498,144,76,10,10,184,212,1
110,33,114,215,49,8,191,33,24,192,242,831,189,79,11,5,183,190,1
115,40,112,128,47,4,201,21,19,127,132,217,143,72,-2,19,179,194,1
95,50,116,222,51,10,191,17,18,144,238,747,140,78,6,0,184,194,1
92,45,112,166,55,9,175,26,17,111,131,244,145,70,14,0,180,213,1
99,52,111,214,51,12,215,26,22,145,247,813,109,78,1,8,205,207,1
105,39,91,198,47,5,167,32,22,161,152,376,121,90,17,23,189,209,1
94,43,107,164,52,8,193,27,18,145,163,478,224,70,11,10,182,186,1
110,49,89,233,53,10,172,21,20,186,246,680,267,75,9,31,190,207,1
98,45,115,234,52,9,198,26,25,174,131,336,202,74,13,3,179,215,1
96,51,98,228,49,7,147,30,22,150,211,780,96,94,5,0,183,193,1
97,47,115,163,49,7,222,46,22,140,209,618,96,72,3,5,185,191,1
97,54,111,190,50,3,162,23,17,145,162,185,100,84,8,0,186,201,1
99,36,113,171,50,6,177,28,22,146,215,150,105,72,0,3,183,214,1
93,36,112,164,50,3,179,38,18,112,156,119,128,75,3,5,177,194,1
87,32,110,194,59,8,186,31,18,114,131,119,117,80,5,-1,187,208,1
96,47,112,226,55,11,172,29,18,162,245,732,206,79,5,-2,195,201,1
101,44,113,254,55,4,196,26,22,138,225,759,158,69,0,22,185,210,1
113,42,105,225,57,3,182,25,20,130,186,367,192,88,19,-4,183,185,1
93,53,98,197,53,7,146,30,18,182,234,773,110,95,23,3,190,197,1
89,39,86,129,47,4,185,32,17,115,109,237,90,80,10,0,182,214,1
91,35,99,201,51,6,195,26,18,144,106,208,164,74,17,-4,184,193,1
98,36,104,236,51,9,238,26,18,189,247,808,150,92,10,6,182,201,1
