Attr0,Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr9,Attr10,Attr11,Attr12,class
1,12,1,-2.8887604634535524,-0.7809559660528124,1.5658680156659635,0.6950309268943039,-0.6728103590095291,-0.9070594386405765,-0.27513733028646264,0.49238526109725744,1
1,14,1,-3.4639389101212794,0.04210998675373931,1.855657846735081,0.38426679659514273,-1.0014175099346954,-0.6404867701026213,-1.0374378732276024,1.0547678334888202,1
1,8,0,-1.732638479201949,-1.0602496715973722,1.2766826934380158,0.26077138463225213,0.9191469429167196,1.298021844395931,-0.3422793229028183,-0.5166322486250476,1
1,10,0,-3.774666165515804,-0.037506732062272424,2.2004128627435096,0.10232475419973103,0.35385102376583744,0.14142300735857366,-0.32460529782542014,-1.121007264227572,1
1,14,1,-3.9023202834756576,0.7043566193280536,1.574031729590726,0.29576902073477573,-1.069484135204637,-0.5195546739751927,-0.5187533261360114,0.9896147219223338,1
0,2,0,-1.2277484384581712,-0.2904893400539624,0.8417697583502463,-0.37221089076192077,0.49998261811640926,1.3188202741513655,-1.3657330255788225,-0.6834332563947056,1
1,12,1,-2.992784470827137,-0.712916650722274,1.568324308638185,0.7149268999692989,-0.6977417326775783,-0.8817596210266939,-0.2642068265600765,0.5019648036889217,1
1,14,1,-3.4850658108311006,0.08076011203826035,1.840341026285051,0.38513276357365406,-0.9938940175233673,-0.6601145288718221,-1.017451852915005,1.0414603993101943,1
1,12,1,-2.8020573463480276,-0.6415188473531108,1.6839730411883027,0.556732464864858,-0.7800600872012599,-0.757936029037297,-0.5560228475318489,0.7504544213535971,1
1,8,0,-2.99874107525887,0.037543739906397366,1.530113022867158,0.18785456811897902,0.10717649222761949,0.7590917097493538,-1.1785743302600447,-0.6341208901241483,1
0,2,0,-1.3902723255027742,-0.309849199106179,1.050598784105802,-0.2646076230447665,0.3933074944136185,0.8862255581849918,-1.4952386297484241,-0.7393308780725099,1
0,6,1,-3.345322991602434,-0.5414937977889558,1.1441848626465585,1.5665636882858676,0.17122084395310128,-0.8891149721496466,-0.3194325875600105,0.029059138112771547,1
1,10,0,-4.062319409881802,0.38538083388046496,1.693459461178634,0.12257739576494188,0.5061031943532559,-0.3312997562377328,-0.26070270682872143,-0.8682678127051744,1
0,6,1,-3.8755930779633387,-0.09635620766477171,1.3179999445737045,1.5791358049049475,0.14728823746904773,-0.6430000985356363,-0.4534576856763686,0.3272881204579796,1
0,2,0,-1.210878982407313,-0.25572564111108215,0.8198612668517364,-0.36097055148154555,0.32454273518513693,1.029415967222271,-1.3891710568518076,-0.7056696192592627,1
0,2,0,-1.2027522306708502,-0.25502523642151975,0.8104465974439428,-0.3676943667730925,0.33058909328966046,1.0515327610205853,-1.3835534025560574,-0.704611266453815,1
0,0,0,-3.8962200410396095,0.14285154077205864,1.5347006619877985,0.1535737045737624,-0.10296110479989604,0.26353056384947016,-0.8788091759352193,-0.6867693677511806,1
