Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,class
82,38,84,145,55,7,153,44,19,131,175,341,138,70,9,18,185,191,1
94,37,75,172,59,7,161,41,20,132,179,392,126,62,4,11,199,205,1
82,39,82,140,54,7,153,44,19,133,173,338,142,71,11,15,182,188,1
103,53,98,224,69,10,214,31,24,166,225,680,204,69,0,21,187,197,1
96,54,98,162,54,10,214,31,24,174,225,681,220,75,3,5,185,193,1
81,40,78,135,55,7,146,46,19,135,171,312,146,76,10,24,181,191,1
106,51,102,186,57,11,213,31,23,161,217,675,189,66,5,5,189,197,1
89,47,81,156,57,7,161,40,20,148,187,390,197,72,9,14,187,192,1
91,45,79,180,64,7,162,40,20,147,184,396,178,66,5,10,191,198,1
93,46,79,178,61,7,167,40,20,147,191,417,194,68,12,13,190,196,1
106,49,106,194,57,11,213,31,24,160,223,669,172,67,0,38,191,205,1
98,49,90,201,63,9,183,35,21,157,204,506,191,65,15,11,196,201,1
91,46,101,202,65,9,196,33,23,146,219,578,199,73,5,7,186,194,1
91,40,87,184,62,8,178,37,21,135,199,472,154,69,1,19,189,195,1
85,36,64,133,57,7,132,51,18,123,151,255,126,70,2,25,187,195,1
96,47,103,214,68,10,200,33,23,147,219,598,199,72,5,6,187,194,1
97,48,101,220,68,9,205,32,23,151,226,629,200,72,3,11,186,194,1
95,48,92,193,62,10,178,37,21,152,199,478,168,63,2,0,197,205,1
90,38,82,171,62,7,161,41,20,132,190,388,142,70,2,24,188,195,1
108,48,102,186,57,11,206,31,23,155,212,630,186,65,11,20,191,200,1
107,51,103,191,58,11,212,31,24,161,219,669,188,66,6,4,189,198,1
105,53,98,191,57,11,216,31,24,166,227,692,190,70,10,24,188,198,1
103,54,92,181,57,10,219,30,25,170,223,706,204,73,2,25,186,196,1
102,48,103,209,63,8,200,32,23,153,224,606,194,69,6,10,191,197,1
85,36,78,149,55,7,146,45,19,127,167,320,134,64,8,22,195,202,1
98,53,104,181,57,10,211,32,24,169,221,661,216,73,1,14,186,194,1
97,45,76,167,60,7,157,41,20,148,183,373,185,68,11,10,190,196,1
86,40,73,137,55,7,147,45,19,135,168,323,160,77,15,3,182,187,1
106,52,102,216,64,10,201,33,23,163,217,606,198,65,15,7,195,203,1
92,48,84,188,61,8,174,37,21,154,200,460,199,67,9,3,193,199,1
100,52,108,224,68,10,222,30,25,166,240,731,208,73,7,26,188,198,1
84,36,62,126,57,7,131,51,18,127,147,253,141,77,6,21,181,186,1
106,51,101,217,64,10,201,33,23,163,218,609,191,65,16,2,196,205,1
97,54,96,170,54,10,216,31,24,172,219,685,218,74,0,4,184,193,1
