dataset;method;model;Precision;Recall;F1-Score;G mean;Balanced Accuracy
abalone9-18;casTGAN;KNN;0.08;0.23;0.12;0.44;0.54
abalone9-18;casTGAN;Random Forest;0.29;0.15;0.2;0.39;0.56
abalone9-18;casTGAN;Decision Tree;0.18;0.23;0.2;0.46;0.58
abalone9-18;casTGAN;XGBoost;0.25;0.23;0.24;0.47;0.59
abalone9-18;casTGAN;AdaBoost;0.3;0.23;0.26;0.47;0.6
abalone9-18;casTGAN;Gradient Boosting;0.33;0.23;0.27;0.47;0.6
abalone9-18;casTGAN;Extra Trees;0.33;0.08;0.12;0.28;0.53
abalone9-18;casTGAN;Neural Network (MLP);0.2;0.31;0.24;0.53;0.62
abalone9-18;casTGAN;Logistic Regression;0.25;0.08;0.12;0.28;0.53
cleveland-0_vs_4;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
cleveland-0_vs_4;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
dermatology-6;casTGAN;KNN;0.07;0.83;0.13;0.56;0.6
dermatology-6;casTGAN;Random Forest;0.1;0.17;0.12;0.39;0.54
dermatology-6;casTGAN;Decision Tree;0.17;0.67;0.27;0.73;0.74
dermatology-6;casTGAN;XGBoost;0.03;0.17;0.05;0.33;0.4
dermatology-6;casTGAN;AdaBoost;0.25;1.0;0.4;0.91;0.91
dermatology-6;casTGAN;Gradient Boosting;0.12;0.17;0.14;0.39;0.55
dermatology-6;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.48
dermatology-6;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.4
dermatology-6;casTGAN;Logistic Regression;0.04;0.17;0.07;0.36;0.48
ecoli-0_vs_1;casTGAN;KNN;0.67;0.98;0.79;0.29;0.53
ecoli-0_vs_1;casTGAN;Random Forest;0.66;1.0;0.8;0.21;0.52
ecoli-0_vs_1;casTGAN;Decision Tree;0.67;0.98;0.79;0.29;0.53
ecoli-0_vs_1;casTGAN;XGBoost;0.67;0.98;0.79;0.29;0.53
ecoli-0_vs_1;casTGAN;AdaBoost;0.65;1.0;0.79;0.0;0.5
ecoli-0_vs_1;casTGAN;Gradient Boosting;0.65;0.95;0.77;0.2;0.5
ecoli-0_vs_1;casTGAN;Extra Trees;0.65;1.0;0.79;0.0;0.5
ecoli-0_vs_1;casTGAN;Neural Network (MLP);0.65;1.0;0.79;0.0;0.5
ecoli-0_vs_1;casTGAN;Logistic Regression;0.65;1.0;0.79;0.0;0.5
ecoli1;casTGAN;KNN;0.1;0.04;0.06;0.2;0.46
ecoli1;casTGAN;Random Forest;0.0;0.0;0.0;0.0;0.47
ecoli1;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.45
ecoli1;casTGAN;XGBoost;0.0;0.0;0.0;0.0;0.46
ecoli1;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
ecoli1;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.47
ecoli1;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
ecoli1;casTGAN;Neural Network (MLP);0.0;0.0;0.0;0.0;0.5
ecoli1;casTGAN;Logistic Regression;0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;KNN;0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;Random Forest;1.0;0.13;0.24;0.37;0.57
iris0;casTGAN;Decision Tree;0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;XGBoost;1.0;0.13;0.24;0.37;0.57
iris0;casTGAN;AdaBoost;0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;Gradient Boosting;0.0;0.0;0.0;0.0;0.5
iris0;casTGAN;Extra Trees;0.0;0.0;0.0;0.0;0.5
