metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
GOGGLE;0.3002 +/- 0.1268;1.6932 +/- 0.7338;14.6079 +/- 9.6102;4.2743 +/- 3.4542;0.2946 +/- 0.107;0.441 +/- nan;0.7266 +/- 0.1172;0.6275 +/- 0.1307;3.8812 +/- 2.2965;0.2232 +/- 0.0317;0.1035 +/- 0.2802;0.2218 +/- 0.4105;0.0303 +/- 0.0879;0.0048 +/- 0.0165;31.3647 +/- 45.7949;3.1103 +/- 1.7531;0.8159 +/- 0.1904;5.4785 +/- 3.2969;0.7033 +/- 0.2039;3.1103 +/- 1.7531;30.2264 +/- 45.031;1.3181 +/- 0.9295;10.2455 +/- 13.6108;1.092 +/- 0.6011;1.8935 +/- 0.8213;27416031.5712 +/- 88662420.0266;0.0056 +/- 0.0153
SMOTE;0.1712 +/- 0.1543;2.6919 +/- 1.409;9.8602 +/- 7.6848;3.193 +/- 2.9886;0.1119 +/- 0.0875;0.7829 +/- 0.1312;0.2818 +/- 0.1722;0.141 +/- 0.0999;0.5708 +/- 0.2913;0.0797 +/- 0.0518;0.9934 +/- 0.0117;0.3088 +/- 0.2709;1.2225 +/- 0.1368;0.2327 +/- 0.1397;2.5324 +/- 9.5319;0.542 +/- 0.2886;0.412 +/- 0.1905;0.9028 +/- 0.8244;0.7033 +/- 0.2039;0.542 +/- 0.2886;0.7087 +/- 0.3583;1.3694 +/- 1.0368;9.3492 +/- 9.0249;1.6587 +/- 0.6043;1.4122 +/- 0.6832;0.7673 +/- 0.3309;0.1268 +/- 0.1328
SMOTECDNN;0.1737 +/- 0.1539;2.678 +/- 1.4002;9.8789 +/- 7.8911;3.3466 +/- 2.955;0.115 +/- 0.0883;0.7781 +/- 0.1319;0.2855 +/- 0.173;0.1437 +/- 0.1009;0.5836 +/- 0.3045;0.0812 +/- 0.0523;0.9944 +/- 0.009;0.3044 +/- 0.2678;1.2045 +/- 0.1234;0.2192 +/- 0.1216;2.9441 +/- 11.7924;0.5559 +/- 0.3012;0.421 +/- 0.1889;0.9209 +/- 0.8249;0.7033 +/- 0.2039;0.5559 +/- 0.3012;0.709 +/- 0.3666;1.3727 +/- 1.1596;7.8099 +/- 7.1569;1.6462 +/- 0.597;1.4037 +/- 0.6902;0.7878 +/- 0.3366;0.1231 +/- 0.1348
SYRFD_thr2;0.218 +/- 0.1349;2.2155 +/- 0.8213;11.0501 +/- 7.5854;4.5892 +/- 3.9909;0.1498 +/- 0.1096;0.7415 +/- 0.1399;0.3493 +/- 0.1935;0.2032 +/- 0.1398;1.624889636717116e+17 +/- 2.601701141591466e+17;0.161 +/- 0.0552;0.399 +/- 0.4084;0.4761 +/- 0.3503;0.3777 +/- 0.4031;0.1226 +/- 0.1124;5.857304702504005e+18 +/- 7.001893380242903e+18;1.6248896367171165e+17 +/- 2.601701141591466e+17;0.7052 +/- 0.2002;3.9248123460192006e+17 +/- 4.617079052307014e+17;0.7033 +/- 0.2039;1.6248896367171165e+17 +/- 2.601701141591466e+17;4.8112207329157786e+35 +/- 7.643313466646064e+35;2.8908 +/- 1.7317;28.5959 +/- 33.2305;2.1976 +/- 0.8323;1.8267 +/- 0.8212;0.7589 +/- 0.4277;0.0657 +/- 0.0845
SYRFD_thr4;0.1968 +/- 0.14;2.418 +/- 0.9723;9.9351 +/- 6.5123;4.2785 +/- 3.6254;0.1421 +/- 0.1021;0.746 +/- 0.1433;0.3322 +/- 0.1819;0.1854 +/- 0.1194;7.0342071384333304e+16 +/- 1.391228968356533e+17;0.1537 +/- 0.0555;0.4783 +/- 0.3843;0.3888 +/- 0.3218;0.4894 +/- 0.4282;0.1394 +/- 0.1095;4.902452164462926e+18 +/- 6.591994851287745e+18;7.034207138433331e+16 +/- 1.3912289683565333e+17;0.6681 +/- 0.2162;1.616688511717576e+17 +/- 2.2977572974775658e+17;0.7033 +/- 0.2039;7.034207138433331e+16 +/- 1.3912289683565333e+17;1.1776464996785397e+35 +/- 3.6621753933570124e+35;2.1838 +/- 1.155;23.3768 +/- 25.2793;1.8913 +/- 0.7387;1.4827 +/- 0.6264;0.7735 +/- 0.4373;0.0773 +/- 0.091
SYRFD_thr8;0.1674 +/- 0.1399;2.8343 +/- 1.4934;9.5897 +/- 6.6758;3.7137 +/- 3.7218;0.1309 +/- 0.1047;0.7621 +/- 0.1466;0.3019 +/- 0.1771;0.1701 +/- 0.1235;0.6217 +/- 0.2592;0.1145 +/- 0.0562;0.8305 +/- 0.2057;0.3719 +/- 0.2661;0.7328 +/- 0.3381;0.196 +/- 0.1061;16.4908 +/- 74.0164;0.5516 +/- 0.2597;0.4347 +/- 0.1574;1.0235 +/- 0.8788;0.7033 +/- 0.2039;0.5516 +/- 0.2597;1.0243 +/- 0.6763;1.6208 +/- 0.9538;13.0497 +/- 13.7614;1.688 +/- 0.6401;1.2706 +/- 0.5187;0.8611 +/- 0.4628;0.0981 +/- 0.1015
casTGAN;0.185 +/- 0.1571;2.7995 +/- 1.3619;16.4101 +/- 14.2796;3.3454 +/- 2.6727;0.1346 +/- 0.0733;0.6815 +/- 0.1591;0.3716 +/- 0.1311;0.1759 +/- 0.0699;0.8126 +/- 0.3018;0.0473 +/- 0.0441;0.508 +/- 0.2785;0.6375 +/- 0.34;0.2245 +/- 0.1783;0.0542 +/- 0.0779;45.1843 +/- 213.4454;0.7702 +/- 0.3031;0.5412 +/- 0.2285;1.2654 +/- 0.8179;0.6835 +/- 0.2316;0.7702 +/- 0.3031;1.2744 +/- 1.4569;1.9199 +/- 1.1085;14.4678 +/- 15.1059;1.4188 +/- 0.6968;1.2359 +/- 0.7277;994257741.5859 +/- 5237878666.5768;0.0413 +/- 0.0736
ctabgan;0.2009 +/- 0.1558;2.5294 +/- 1.171;10.0548 +/- 7.8285;5.9058 +/- 3.6817;0.2418 +/- 0.0857;0.5872 +/- 0.1062;0.5775 +/- 0.1267;0.3359 +/- 0.1131;0.8667 +/- 0.3613;0.1536 +/- 0.0505;0.8083 +/- 0.2363;0.3459 +/- 0.3489;0.7376 +/- 0.4998;0.1587 +/- 0.0905;32.6535 +/- 145.5127;0.765 +/- 0.3755;0.511 +/- 0.1886;1.3646 +/- 1.0247;0.7033 +/- 0.2039;0.765 +/- 0.3755;1.4482 +/- 1.2327;1.7261 +/- 1.0871;10.9363 +/- 12.8274;1.3567 +/- 0.7088;1.4016 +/- 0.462;16236047646.3137 +/- 37573572276.5112;0.056 +/- 0.1051
ctabganp;0.2094 +/- 0.1474;2.4815 +/- 1.2636;7.2382 +/- 5.6793;4.7813 +/- 3.3575;0.172 +/- 0.0943;0.6965 +/- 0.1262;0.4659 +/- 0.1506;0.2347 +/- 0.1221;0.6483 +/- 0.2906;0.141 +/- 0.0641;0.8328 +/- 0.213;0.2746 +/- 0.2776;0.8979 +/- 0.6347;0.198 +/- 0.1131;22.6392 +/- 97.2811;0.5754 +/- 0.2882;0.4714 +/- 0.1824;1.0599 +/- 0.9185;0.7033 +/- 0.2039;0.5754 +/- 0.2882;0.8144 +/- 0.6333;1.4351 +/- 0.9301;10.1575 +/- 10.1373;1.6628 +/- 0.5982;1.5907 +/- 0.5932;2.1857 +/- 1.984;0.0928 +/- 0.1197
ddpm;0.1692 +/- 0.1317;2.8788 +/- 1.4068;12.0761 +/- 7.2145;4.1094 +/- 3.4332;0.1619 +/- 0.0858;0.7112 +/- 0.1178;0.3115 +/- 0.1352;0.2367 +/- 0.1156;0.8022 +/- 0.3045;0.1269 +/- 0.0622;0.7768 +/- 0.1845;0.4034 +/- 0.3153;0.5566 +/- 0.2038;0.2061 +/- 0.144;2.2829 +/- 1.5631;0.69 +/- 0.3251;0.414 +/- 0.1441;1.3206 +/- 1.2376;0.7033 +/- 0.2039;0.69 +/- 0.3251;1.8623 +/- 1.2124;1.3182 +/- 0.9052;6.674 +/- 6.022;1.6303 +/- 0.5951;1.2562 +/- 0.594;1.0177 +/- 0.5337;0.1186 +/- 0.1594
