tuple_pair,Attr0,Attr1,Attr2,Attr3,class
"t0,t1",0.3000000000000007,0.1,0.1,0.0,0.0
"t0,t2",0.0999999999999996,0.6000000000000001,0.0,0.0,0.0
"t0,t3",0.5,0.8999999999999999,0.3,0.2,0.0
"t0,t4",0.3000000000000007,0.3999999999999999,0.0,0.0999999999999999,0.0
"t0,t5",0.0999999999999996,0.3999999999999999,0.1,0.0,0.0
"t0,t6",0.5,0.1,0.0,0.0,0.0
"t0,t7",0.5,0.7000000000000002,0.1,0.0,0.0
"t0,t8",0.1000000000000005,0.3999999999999999,0.2000000000000001,0.0,0.0
"t0,t9",0.1000000000000005,0.0,0.0,0.1,0.0
"t0,t10",0.6000000000000005,0.0,0.2999999999999998,0.1,0.0
"t0,t11",0.7999999999999998,1.4000000000000004,0.1,0.2,0.0
"t0,t12",0.5,0.8999999999999999,0.0999999999999998,0.2,0.0
"t0,t13",0.1999999999999993,0.5,0.0,0.0999999999999999,0.0
"t0,t14",0.7999999999999998,0.7999999999999998,0.3,0.0999999999999999,0.0
"t0,t15",0.1999999999999993,0.7999999999999998,0.1,0.0999999999999999,0.0
"t0,t16",0.5,0.3999999999999999,0.3,0.0,0.0
"t0,t17",0.1999999999999993,0.7000000000000002,0.1,0.2,0.0
"t0,t18",0.3000000000000007,0.6000000000000001,0.3999999999999999,0.0,0.0
"t0,t19",0.1999999999999993,0.2999999999999998,0.3,0.3,0.0
"t0,t20",0.1000000000000005,0.3999999999999999,0.5,0.0,0.0
"t0,t21",0.0999999999999996,0.0,0.2000000000000001,0.0,0.0
"t0,t22",0.0999999999999996,0.3999999999999999,0.2000000000000001,0.2,0.0
"t0,t23",0.2999999999999998,0.5,0.1,0.0,0.0
"t0,t24",0.2999999999999998,0.3999999999999999,0.0,0.0,0.0
"t0,t25",0.2000000000000001,0.2000000000000001,0.2000000000000001,0.0,0.0
"t0,t26",0.1000000000000005,0.1,0.2000000000000001,0.0,0.0
"t0,t27",0.5,0.3999999999999999,0.1,0.2,0.0
"t0,t28",0.2999999999999998,1.0999999999999996,0.1,0.1,0.0
"t0,t29",0.5999999999999996,1.2000000000000002,0.0,0.0,0.0
"t0,t30",0.0,0.1,0.1,0.1,0.0
"t0,t31",0.0999999999999996,0.2000000000000001,0.1999999999999999,0.0,0.0
"t0,t32",0.5999999999999996,0.5,0.0999999999999998,0.0,0.0
"t0,t33",0.0,0.1,0.1,0.1,0.0
"t0,t34",0.5,0.0,0.0999999999999998,0.0,0.0
"t0,t35",0.1999999999999993,0.3999999999999999,0.1,0.0,0.0
"t0,t36",0.0999999999999996,0.5,0.0999999999999998,0.0999999999999999,0.0
"t0,t37",0.4000000000000003,0.7000000000000002,0.0999999999999998,0.0999999999999999,0.0
"t0,t38",0.1999999999999993,0.7999999999999998,0.5,0.2,0.0
"t0,t39",0.1000000000000005,0.0,0.0,0.0999999999999999,0.0
"t0,t40",0.1999999999999993,0.7999999999999998,0.2000000000000001,0.0,0.0
"t0,t41",0.3000000000000007,0.2000000000000001,0.0,0.0,0.0
"t0,t42",0.3999999999999994,0.7000000000000002,0.1,0.0,0.0
"t0,t43",0.0999999999999996,0.2999999999999998,0.0,0.0,0.0
"t0,t44",0.2000000000000001,0.2000000000000001,0.0999999999999998,0.0,0.0
"t0,t45",0.0,0.1,0.1,0.1,0.0
"t0,t46",0.8999999999999995,1.0,0.1999999999999999,0.0,0.0
"t0,t47",0.5,0.2000000000000001,0.0999999999999998,0.0,0.0
"t0,t48",0.0999999999999996,0.5,0.2000000000000001,0.3999999999999999,0.0
"t1,t2",0.4000000000000003,0.5,0.1,0.0,0.0
"t1,t3",0.8000000000000007,0.7999999999999998,0.1999999999999999,0.2,0.0
"t1,t4",0.0,0.2999999999999998,0.1,0.0999999999999999,0.0
"t1,t5",0.4000000000000003,0.2999999999999998,0.0,0.0,0.0
"t1,t6",0.1999999999999993,0.2000000000000001,0.1,0.0,0.0
"t1,t7",0.8000000000000007,0.6000000000000001,0.0,0.0,0.0
"t1,t8",0.2000000000000001,0.2999999999999998,0.1,0.0,0.0
"t1,t9",0.2000000000000001,0.1,0.1,0.1,0.0
"t1,t10",0.2999999999999998,0.1,0.3999999999999999,0.1,0.0
"t1,t11",1.1000000000000003,1.3000000000000005,0.0,0.2,0.0
"t1,t12",0.8000000000000007,0.7999999999999998,0.1999999999999999,0.2,0.0
"t1,t13",0.5,0.3999999999999999,0.1,0.0999999999999999,0.0
"t1,t14",1.1000000000000003,0.6999999999999997,0.1999999999999999,0.0999999999999999,0.0
