tuple_pair,Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,class
"t0,t1",3.0,7.0,7.0,5.0,5.0,7.0,5.0,3.0,0.0,0.0
"t0,t2",0.0,3.0,5.0,2.0,0.0,1.0,4.0,2.0,3.0,0.0
"t0,t3",1.0,6.0,4.0,4.0,1.0,9.0,5.0,4.0,0.0,0.0
"t0,t4",2.0,3.0,3.0,2.0,3.0,0.0,5.0,6.0,1.0,0.0
"t0,t5",1.0,7.0,8.0,2.0,2.0,0.0,4.0,3.0,3.0,0.0
"t0,t6",2.0,5.0,5.0,5.0,1.0,3.0,2.0,3.0,0.0,0.0
"t0,t7",3.0,8.0,7.0,4.0,5.0,3.0,6.0,1.0,0.0,0.0
"t0,t8",2.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,2.0,0.0
"t0,t9",2.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0
"t0,t10",3.0,6.0,6.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0
"t0,t11",6.0,5.0,7.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0
"t0,t12",2.0,6.0,7.0,7.0,4.0,7.0,3.0,2.0,1.0,0.0
"t0,t13",2.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,2.0,0.0
"t0,t14",2.0,0.0,0.0,4.0,1.0,9.0,1.0,3.0,0.0,0.0
"t0,t15",5.0,3.0,3.0,4.0,3.0,1.0,5.0,1.0,0.0,0.0
"t0,t16",1.0,2.0,3.0,6.0,3.0,2.0,6.0,1.0,1.0,0.0
"t0,t17",1.0,5.0,2.0,7.0,5.0,7.0,7.0,6.0,4.0,0.0
"t0,t18",3.0,7.0,7.0,4.0,5.0,6.0,6.0,3.0,0.0,0.0
"t0,t19",2.0,7.0,4.0,6.0,4.0,5.0,5.0,3.0,1.0,0.0
"t0,t20",3.0,5.0,5.0,0.0,3.0,2.0,2.0,4.0,6.0,0.0
"t0,t21",2.0,5.0,5.0,2.0,1.0,2.0,2.0,6.0,0.0,0.0
"t0,t22",2.0,4.0,4.0,5.0,3.0,5.0,6.0,1.0,0.0,0.0
"t0,t23",0.0,0.0,0.0,7.0,4.0,4.0,6.0,2.0,0.0,0.0
"t0,t24",0.0,8.0,6.0,7.0,2.0,9.0,4.0,3.0,3.0,0.0
"t0,t25",3.0,8.0,7.0,7.0,1.0,0.0,4.0,6.0,0.0,0.0
"t0,t26",1.0,5.0,5.0,6.0,5.0,8.0,4.0,6.0,0.0,0.0
"t0,t27",3.0,7.0,5.0,3.0,4.0,7.0,5.0,3.0,0.0,0.0
"t0,t28",1.0,0.0,0.0,7.0,3.0,2.0,6.0,4.0,0.0,0.0
"t0,t29",2.0,7.0,6.0,7.0,2.0,8.0,6.0,2.0,0.0,0.0
"t0,t30",2.0,6.0,8.0,7.0,4.0,8.0,5.0,4.0,9.0,0.0
"t0,t31",3.0,7.0,6.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0
"t0,t32",0.0,7.0,2.0,5.0,3.0,1.0,1.0,2.0,7.0,0.0
"t0,t33",2.0,0.0,8.0,0.0,3.0,8.0,2.0,1.0,9.0,0.0
"t0,t34",2.0,4.0,6.0,7.0,4.0,6.0,6.0,5.0,2.0,0.0
"t0,t35",5.0,5.0,3.0,0.0,1.0,1.0,2.0,3.0,6.0,0.0
"t0,t36",3.0,0.0,4.0,7.0,3.0,6.0,5.0,3.0,9.0,0.0
"t0,t37",5.0,7.0,4.0,4.0,2.0,2.0,5.0,3.0,0.0,0.0
"t0,t38",5.0,4.0,4.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0
"t0,t39",1.0,4.0,1.0,6.0,3.0,4.0,7.0,2.0,9.0,0.0
"t0,t40",1.0,5.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0
"t0,t41",2.0,7.0,5.0,7.0,3.0,5.0,6.0,3.0,1.0,0.0
"t0,t42",6.0,7.0,6.0,4.0,5.0,5.0,7.0,2.0,0.0,0.0
"t0,t43",0.0,8.0,7.0,7.0,1.0,7.0,2.0,6.0,0.0,0.0
"t0,t44",2.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,0.0
"t0,t45",7.0,4.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0
"t0,t46",2.0,5.0,6.0,4.0,4.0,1.0,2.0,1.0,2.0,0.0
"t0,t47",0.0,4.0,6.0,5.0,2.0,1.0,6.0,6.0,0.0,0.0
"t0,t48",2.0,7.0,7.0,2.0,5.0,0.0,2.0,4.0,2.0,0.0
"t0,t49",2.0,0.0,0.0,5.0,3.0,2.0,1.0,6.0,0.0,0.0
"t0,t50",4.0,5.0,5.0,2.0,3.0,0.0,2.0,2.0,7.0,0.0
"t0,t51",2.0,0.0,0.0,6.0,3.0,0.0,4.0,4.0,2.0,0.0
"t0,t52",3.0,6.0,4.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0
"t0,t53",1.0,5.0,7.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0
"t0,t54",0.0,7.0,5.0,4.0,2.0,0.0,8.0,1.0,1.0,0.0
"t0,t55",3.0,0.0,2.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0
"t0,t56",1.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,0.0
"t0,t57",5.0,6.0,5.0,6.0,1.0,2.0,5.0,6.0,0.0,0.0
"t0,t58",0.0,2.0,3.0,4.0,3.0,0.0,2.0,1.0,6.0,0.0
"t0,t59",1.0,8.0,6.0,7.0,1.0,0.0,4.0,3.0,2.0,0.0
"t0,t60",2.0,0.0,2.0,2.0,3.0,5.0,1.0,3.0,0.0,0.0
"t0,t61",3.0,5.0,5.0,2.0,4.0,0.0,6.0,6.0,0.0,0.0
"t0,t62",1.0,1.0,0.0,5.0,1.0,0.0,2.0,3.0,5.0,0.0
"t0,t63",2.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0,1.0,0.0
"t0,t64",3.0,4.0,3.0,0.0,1.0,0.0,6.0,3.0,2.0,0.0
"t0,t65",2.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,0.0
"t0,t66",0.0,4.0,5.0,4.0,4.0,0.0,3.0,6.0,0.0,0.0
"t0,t67",3.0,2.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0
"t0,t68",3.0,0.0,0.0,5.0,1.0,9.0,4.0,3.0,2.0,0.0
"t0,t69",3.0,7.0,7.0,5.0,1.0,0.0,6.0,6.0,0.0,0.0
"t0,t70",3.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
"t0,t71",7.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0
"t0,t72",2.0,5.0,4.0,2.0,1.0,0.0,2.0,0.0,9.0,0.0
"t0,t73",3.0,2.0,6.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0
