tuple_pair,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,class
"t0,t1",8,4,3,41,11,1,20,4,2,20,12,77,17,14,16,5,21,19,0
"t0,t2",1,3,16,18,5,0,10,4,1,6,7,40,9,1,4,11,1,0,0
"t0,t3",2,5,8,2,2,17,3,1,0,6,6,15,29,4,13,1,11,8,0
"t0,t4",5,1,6,27,9,4,18,4,2,13,20,70,5,12,10,1,20,15,0
"t0,t5",3,4,14,51,16,0,3,4,0,4,4,23,20,17,10,8,20,26,0
"t0,t6",2,5,12,36,12,0,4,4,0,5,2,28,19,15,6,4,19,27,0
"t0,t7",8,2,4,29,8,3,22,5,2,11,14,81,14,13,7,9,20,17,0
"t0,t8",3,4,7,13,4,2,18,5,1,10,23,74,27,12,16,7,18,14,0
"t0,t9",5,4,10,41,15,1,3,3,0,3,8,20,25,12,13,11,17,24,0
"t0,t10",3,0,12,5,1,1,0,0,0,1,6,0,5,4,14,9,10,8,0
"t0,t11",3,6,7,21,7,3,22,5,2,22,17,84,27,12,16,1,21,18,0
"t0,t12",0,4,7,1,1,4,18,5,1,12,23,73,19,13,15,3,19,14,0
"t0,t13",1,6,9,3,0,2,20,5,2,13,23,82,44,12,13,12,20,16,0
"t0,t14",1,6,4,25,8,2,22,5,2,15,20,86,27,13,7,5,20,18,0
"t0,t15",8,2,5,5,5,0,6,2,0,3,17,26,17,8,15,12,13,11,0
"t0,t16",2,1,2,0,2,0,11,4,1,0,15,50,12,7,14,7,14,11,0
"t0,t17",3,5,0,19,4,3,24,5,2,14,16,93,27,12,15,10,19,17,0
"t0,t18",3,4,7,1,0,2,26,6,2,15,21,108,26,10,8,12,18,15,0
"t0,t19",6,7,25,45,6,4,19,9,1,20,18,76,21,22,8,3,23,27,0
"t0,t20",10,3,19,46,11,1,5,4,0,8,11,31,2,21,5,6,26,27,0
"t0,t21",3,1,6,5,0,0,0,0,0,1,3,2,12,2,8,8,7,7,0
"t0,t22",0,7,15,23,7,0,5,2,0,9,2,21,38,4,14,15,10,9,0
"t0,t23",1,0,8,38,12,2,2,1,0,1,8,1,13,16,13,4,20,25,0
"t0,t24",5,1,0,2,1,0,5,1,0,3,4,19,12,0,2,10,2,3,0
"t0,t25",7,6,9,12,1,0,1,0,0,11,7,3,35,8,16,6,14,15,0
"t0,t26",7,7,8,19,3,1,4,2,0,15,3,15,32,3,15,2,9,8,0
"t0,t27",2,1,7,12,2,1,16,4,1,1,12,66,9,2,6,7,7,6,0
"t0,t28",2,1,6,4,2,2,8,2,1,3,7,31,7,1,7,6,4,4,0
"t0,t29",2,5,5,16,8,2,25,6,2,14,20,98,25,7,11,4,16,13,0
"t0,t30",4,8,12,11,0,0,9,4,0,16,8,35,47,3,11,10,8,10,0
"t0,t31",0,2,4,3,1,1,7,2,1,2,4,28,32,0,11,2,4,3,0
"t0,t32",3,2,2,0,1,1,9,2,1,3,5,35,2,1,12,2,4,3,0
"t0,t33",2,2,12,31,8,1,11,5,0,1,3,44,4,9,14,2,12,16,0
"t0,t34",1,3,13,13,6,4,20,5,2,10,16,77,33,6,2,9,13,10,0
"t0,t35",5,3,23,48,11,1,5,5,0,6,14,32,1,24,17,5,27,27,0
"t0,t36",1,7,6,24,7,2,19,4,2,25,15,70,28,14,12,6,21,19,0
"t0,t37",4,3,20,25,6,1,15,6,1,5,10,56,9,0,10,8,4,4,0
"t0,t38",6,1,14,12,0,2,4,2,0,3,1,17,0,4,10,11,10,9,0
"t0,t39",9,6,8,17,2,1,1,0,0,11,3,1,19,5,6,3,9,8,0
"t0,t40",2,7,18,36,8,2,18,8,1,15,17,70,41,4,11,2,11,12,0
"t0,t41",4,4,5,160,69,40,21,5,2,18,73,83,17,34,17,2,19,16,0
"t0,t42",4,2,7,13,5,3,21,5,2,13,21,81,14,12,5,4,20,17,0
"t0,t43",9,1,2,22,6,3,19,4,2,12,10,68,17,11,12,5,20,17,0
